Date,target_value
2022-07-07,1212.277161
2022-07-08,1230.043274
2022-07-09,1219.642578
2022-07-10,1192.6530149999999
2022-07-11,1132.687805
2022-07-12,1067.7254025
2022-07-13,1075.8869020000002
2022-07-14,1152.520996
2022-07-15,1212.4019775000002
2022-07-16,1292.7090455
2022-07-17,1345.92041
2022-07-18,1458.761963
2022-07-19,1560.6795655
2022-07-20,1531.577515
2022-07-21,1548.562012
2022-07-22,1557.075256
2022-07-23,1542.877441
2022-07-24,1574.3496095
2022-07-25,1522.270325
2022-07-26,1443.478943
2022-07-27,1539.9797365
2022-07-28,1680.850037
2022-07-29,1726.5154415
2022-07-30,1711.515686
2022-07-31,1688.70105
2022-08-01,1658.320679
2022-08-02,1633.7956545000002
2022-08-03,1625.9628910000001
2022-08-04,1613.546265
2022-08-05,1669.8892825
2022-08-06,1712.159607
2022-08-07,1695.564392
2022-08-08,1737.604797
2022-08-09,1739.5481565
2022-08-10,1777.324585
2022-08-11,1866.526245
2022-08-12,1919.072815
2022-08-13,1969.335266
2022-08-14,1959.2922365
2022-08-15,1920.4943235
2022-08-16,1890.486267
2022-08-17,1855.4669800000001
2022-08-18,1840.3616944999999
2022-08-19,1730.0413210000002
2022-08-20,1594.8272095
2022-08-21,1597.9312745
2022-08-22,1620.8363645
2022-08-23,1642.8546139999999
2022-08-24,1659.8773194999999
2022-08-25,1676.8967895
2022-08-26,1602.053711
2022-08-27,1499.776001
2022-08-28,1460.8770749999999
2022-08-29,1491.7384035
2022-08-30,1538.5139159999999
2022-08-31,1538.985718
2022-09-01,1569.966553
2022-09-02,1581.6192015
2022-09-03,1567.043213
2022-09-04,1567.268738
2022-09-05,1597.5336305
2022-09-06,1589.4943845
2022-09-07,1595.406555
2022-09-08,1632.5764159999999
2022-09-09,1677.1365965
2022-09-10,1747.5825195
2022-09-11,1768.8880614999998
2022-09-12,1737.925049
2022-09-13,1647.375244
2022-09-14,1604.8065795
2022-09-15,1553.3882445
2022-09-16,1452.1880495
2022-09-17,1451.309082
2022-09-18,1402.517273
2022-09-19,1356.406067
2022-09-20,1351.0036015
2022-09-21,1288.411682
2022-09-22,1289.6237795000002
2022-09-23,1327.870361
2022-09-24,1323.1189574999999
2022-09-25,1306.0776369999999
2022-09-26,1314.853149
2022-09-27,1332.7323609999999
2022-09-28,1333.4761355
2022-09-29,1336.6033935
2022-09-30,1331.8125610000002
2022-10-01,1319.9190675
2022-10-02,1293.923462
2022-10-03,1299.8013305
2022-10-04,1342.7024535
2022-10-05,1357.405029
2022-10-06,1352.258057
2022-10-07,1342.1766969999999
2022-10-08,1323.9359129999998
2022-10-09,1319.0322265
2022-10-10,1306.978149
2022-10-11,1285.3426515
2022-10-12,1287.319336
2022-10-13,1291.5206294999998
2022-10-14,1292.7354125000002
2022-10-15,1286.088806
2022-10-16,1290.651062
2022-10-17,1319.0115965
2022-10-18,1321.0584715
2022-10-19,1298.1536865
2022-10-20,1284.430603
2022-10-21,1291.5672605
2022-10-22,1307.1007690000001
2022-10-23,1338.8482665000001
2022-10-24,1354.2451780000001
2022-10-25,1403.1883545
2022-10-26,1513.8499145
2022-10-27,1540.6081545000002
2022-10-28,1534.9005124999999
2022-10-29,1587.486572
2022-10-30,1605.2406005
2022-10-31,1581.5979005
2022-11-01,1576.174988
2022-11-02,1549.6048584999999
2022-11-03,1525.633301
2022-11-04,1588.2454834999999
2022-11-05,1636.5622560000002
2022-11-06,1600.067932
2022-11-07,1570.3041385
2022-11-08,1450.5825805
2022-11-09,1216.6461184999998
2022-11-10,1199.785889
2022-11-11,1293.0517575
2022-11-12,1271.3533324999999
2022-11-13,1238.630249
2022-11-14,1231.749878
2022-11-15,1246.7069700000002
